ID,NAtoms,Ne,Homo-4,Homo-3,Homo-2,Homo-1,Homo,Lumo,Lumo+1,Lumo+2,Lumo+3,Lumo+4,CIe,HF,ET,EV,EJ,EK,ENuc,Dipole,Factor,Theta,Mu,B_opt1,B_opt2,B_opt3,B_opt4,B_opt5,Err1,Err2,Err3,Err4,Err5
AC0001,5,10,-11.2078,-0.9409,-0.54376,-0.54376,-0.54376,0.04182,0.07699,0.07699,0.07699,0.14976,-0.23778223,-40.2120398439,4.0142459,-11.9788623,3.2629439,-0.6586334,1.3391018,0,2,10.9736620008945,-0.26984375,1.78598117828369,0.331325817108154,1.01219749450684,0.115979957580566,0.967488002777099,5.41350292371234E-09,1.41252673446779E-08,2.08561307113442E-09,1.1325273774343E-08,9.89490150926642E-09
AC0002,8,18,-0.5942,-0.5942,-0.50851,-0.48597,-0.48596,0.04391,0.05894,0.06729,0.06729,0.09765,-0.44164767,-79.257236267,4.39612044444445,-14.8824532777778,4.44053494444445,-0.694520277777778,2.33713844444444,0,2,10.7617639362812,-0.2557421875,1.79696550369263,0.218402767181396,1.03758172988892,-0.136812019348146,1.03315753936768,1.77997783179507E-09,1.93214261257069E-09,3.20008415322093E-08,1.66152023806099E-08,8.87928591764009E-09
AC0003,11,26,-0.54825,-0.52941,-0.47444,-0.47426,-0.46736,0.04368,0.05787,0.06037,0.06437,0.08619,-0.64746031,-118.3040865438,4.54318069230769,-16.8800180769231,5.33371396153846,-0.708285846153846,3.16125211538462,0.082,2,10.5996788203716,-0.249140625,1.81612014770508,0.166319370269775,1.04929685592651,-0.267068004608155,1.049733543396,4.52455728439105E-09,2.65724314774118E-08,9.67637792115283E-09,1.46454406380059E-08,2.0519451693346E-09
AC0004,9,24,-0.58357,-0.56581,-0.52293,-0.48762,-0.35713,0.04223,0.05809,0.05929,0.07578,0.07973,-0.60830574,-117.1096117276,4.87103120833333,-17.1950675,5.24864191666667,-0.735605625,2.93143279166667,0.3988,2,10.6516678452492,-0.237333984375,1.71778507232666,-0.09034242630005,1.0613187789917,-0.202594184875489,1.08592147827148,1.34483491009973E-09,1.32324984303267E-09,3.86500170757032E-08,8.69375571532771E-10,8.60463311713744E-09
AC0005,7,22,-0.62366,-0.59062,-0.59062,-0.384,-0.384,0.03842,0.05,0.07313,0.07314,0.10857,-0.57134878,-115.9050288432,5.25732345454546,-17.5679218181818,5.14986695454546,-0.768080045454545,2.66040104545455,0.8016,2,10.6591129362583,-0.22990234375,1.71079053878784,-0.286611270904542,1.0750617980957,-0.130470752716065,1.12705001831055,1.05790515236848E-08,8.39461022916765E-09,2.76378004926414E-08,0.227138742584611,2.45897210371382E-08
AC0006,9,26,-0.56915,-0.53206,-0.52439,-0.48822,-0.44263,0.04039,0.05575,0.06539,0.06661,0.08939,-0.69697553,-154.1398413524,5.91889976923077,-20.1854416923077,6.00325992307692,-0.798252384615385,3.13307896153846,1.7347,2,9.88728385865688,-0.25025390625,1.85267457962036,0.074979877471923,1.11308002471924,-0.679877758026124,1.1343222618103,8.27831259098133E-09,1.32993455137509E-08,5.09408684123969E-08,7.64047536350176E-09,3.85486875753571E-09
AC0007,7,24,-0.6247,-0.60388,-0.56207,-0.50197,-0.42722,0.03857,0.05576,0.07152,0.07154,0.09638,-0.65731314,-152.9703193808,6.36266420833333,-20.7492858333333,5.95371629166667,-0.833280291666667,2.89242229166667,3.2267,2,9.65832944512367,-0.258662109375,1.79685153961182,0.026079654693603,1.11052618026733,-0.594197750091554,1.14514122009277,4.9654672595878E-09,4.51311732430071E-09,3.65435804949854E-08,1.07458486553469E-10,1.5992058122194E-08
AC0008,10,26,-0.57913,-0.51506,-0.50765,-0.48778,-0.38805,0.0412,0.05741,0.06043,0.06736,0.08834,-0.67719031,-134.3019770891,5.15699061538462,-18.4017512692308,5.65117996153846,-0.749465884615384,3.17758592307692,1.3292,2,10.3386522829533,-0.240078125,1.80576992034912,0.000681686401366,1.09448757171631,-0.511678409576417,1.11910514831543,8.98963792295149E-10,1.10101694428266E-08,3.13756722825076E-08,1.43315768141861E-08,9.86531045743533E-09
AC0009,8,26,-0.64664,-0.57914,-0.55012,-0.51158,-0.49855,0.04076,0.05735,0.06289,0.07336,0.09453,-0.70235059,-178.1452179442,6.84276242307692,-22.2565392692308,6.39121473076923,-0.855236692307692,3.02605965384615,2.2486,2,9.36296665668488,-0.26951171875,1.83549280166626,0.156954193115234,1.1066333770752,-0.274756813049318,1.11376504898071,1.27510576541923E-08,1.4779332202508E-09,4.60038033223142E-08,2.74008495892986E-08,6.08533967660918E-09
AC0010,10,34,-0.53229,-0.51649,-0.48449,-0.45687,-0.36037,0.04087,0.05819,0.06095,0.06396,0.08169,-0.77046859,-420.5794467261,12.3644132352941,-35.7750891470588,8.86080608823529,-1.04429294117647,3.22417902941176,1.329,2,10.5593600869179,-0.235048828125,1.67091436386109,-0.026924705505372,1.04534959793091,-0.702204418182375,1.09040718078613,7.93759313832965E-09,1.84093141841757E-08,1.56500723491604E-09,0.138756288741424,1.78070783674045E-08
AC0011,9,34,-0.54046,-0.51412,-0.50017,-0.4469,-0.35524,0.04042,0.05534,0.06383,0.06524,0.08255,-0.783806,-476.7979174372,14.0177856176471,-39.5313124411765,9.45765167647059,-1.10411411764706,3.13652108823529,1.7931,2,10.3071591436863,-0.23259765625,1.67685785293579,-0.09685459136963,1.06634693145752,-0.561568927764894,1.11893672943115,1.93889595490049E-08,1.89379896209374E-08,3.89246610499328E-08,0.205467190872912,2.8793049611231E-08
AC0012,8,34,-0.56066,-0.5295,-0.50304,-0.43187,-0.431,0.03999,0.05672,0.06301,0.07247,0.0929,-0.72080531,-538.1903585415,15.8251421764706,-43.5582936764706,10.0755480882353,-1.16793255882353,2.99640779411765,2.4137,2,10.1535886406899,-0.23994140625,1.67343273162842,0.105248165130614,1.04251918792725,-0.828953552246095,1.07344331741333,1.39733862258851E-08,2.48951085302096E-08,3.06954984763408E-08,0.129707818872613,3.74340692887998E-08
AC0013,18,58,-0.48285,-0.47748,-0.47289,-0.33334,-0.32339,0.03783,0.04772,0.04895,0.05981,0.06374,-1.5261509,-308.8682455219,5.31669420689655,-24.0689641896552,8.36209165517241,-0.777050724137931,5.84191444827586,0.421,2,10.1190539777279,-0.2237890625,1.76895256042481,-0.295978450775148,1.10124616622925,-0.458972930908204,1.13021755218506,1.45082603708602E-08,1.59679887090647E-08,6.64056618582265E-08,1.42761580335105E-09,7.42323691405034E-09
AC0014,15,52,-0.5221,-0.4988,-0.48394,-0.38266,-0.31337,0.03932,0.04818,0.05244,0.06008,0.06522,-1.4141103,-306.7994813091,5.89008298076923,-24.7938019038461,8.31128240384615,-0.811886384615385,5.50433288461538,1.1539,2,9.77664740085602,-0.230927734375,1.76608304977417,-0.305743122100831,1.11299524307251,-0.408426952362062,1.14783382415772,6.46022768613364E-09,3.39780628078046E-08,8.67656122505167E-08,3.75512454464655E-08,2.57947374571188E-08
AC0015,18,60,-0.50531,-0.48122,-0.46721,-0.37002,-0.31146,0.03856,0.04755,0.05249,0.05809,0.06404,-1.6170777,-345.8339608732,5.75445245,-25.53900815,8.78351193333333,-0.802447316666667,6.03959173333333,1.2587,2,9.80971345305443,-0.22900390625,1.78394813537598,-0.266286468505861,1.11224040985107,-0.397410106658937,1.13978261947632,3.60118928011133E-08,3.55153664255425E-08,8.87675444261049E-09,1.28151034228807E-08,4.8288436804711E-08
AC0016,17,58,-0.48958,-0.48818,-0.41118,-0.3788,-0.33548,0.03624,0.04654,0.05034,0.06077,0.06458,-1.554698,-324.8706321,5.59180010344828,-24.881828362069,8.56667522413793,-0.795401396551724,5.91753665517241,1.859,2,9.95393928587437,-0.2282763671875,1.79442501068115,-0.251037883758546,1.11460838317871,-0.759180545806886,1.15071392059326,3.39842498586762E-08,6.0895155584717E-09,3.82230345152834E-08,0.25623276642771,6.38751833648144E-08
